address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people)
"164, 1st Block, Bellandur, Bangalore",Curry Point 0,No,No,3.8/5,220,080 44024143,Bellandur,Cafe,"Pizza, Rolls, Waffles, Chicken Wings",South Indian,350
"181, Cross, Electronic City, Bangalore",Curry House 1,No,No,3.9/5,294,080 43258253,Electronic City,Quick Bites,"Idli, Noodles, Waffles, Sandwiches",Bakery,300
"28, Ring Road, MG Road, Bangalore",Spice Adda 2,No,No,NEW,238,080 46367617,MG Road,Cafe,Burgers,Fast Food,400
"120, Main Road, Jayanagar, Bangalore",Green Bar & Grill 3,Yes,Yes,4.2/5,152,080 43039500,Jayanagar,Delivery,"Biryani, Filter Coffee","Cafe Food, Bakery",250
"18, 2nd Stage, BTM, Bangalore",South Side Point 4,Yes,No,4.1/5,313,080 41061425,BTM,Quick Bites,"Momos, Chicken Wings",Beverages,350
"153, Ring Road, Whitefield, Bangalore",Blue Bar & Grill 5,Yes,No,3.5/5,82,080 42658699,Whitefield,Quick Bites,Rolls,"Beverages, Biryani",250
"130, 2nd Stage, Sarjapur Road, Bangalore",Royal Corner 6,Yes,No,3.9/5,129,080 40946946,Sarjapur Road,Cafe,Filter Coffee,"Mughlai, Continental, Japanese",500
"55, 1st Block, Koramangala, Bangalore",Spice Diner 7,Yes,No,3.5/5,168,080 40827299,Koramangala,Delivery,"Gulab Jamun, Butter Chicken","Beverages, Japanese",450
"132, 2nd Stage, HSR Layout, Bangalore",South Side Bistro 8,Yes,Yes,3.9/5,79,080 42438732,HSR Layout,Cafe,Pasta,"Mexican, North Indian",500
"193, Ring Road, Marathahalli, Bangalore",Red Point 9,No,No,3.9/5,194,080 44350970,Marathahalli,Quick Bites,"Paneer Butter Masala, Chocolate Brownie","Thai, Fast Food, Continental",350
"40, Cross, HSR Layout, Bangalore",Green Restaurant 10,No,No,4.2/5,54,080 40447848,HSR Layout,Bakery,"Masala Dosa, Burgers, Pizza, Chicken Wings",,250
"113, Ring Road, Indiranagar, Bangalore",Royal Restaurant 11,No,Yes,4.2/5,92,080 41237537,Indiranagar,Casual Dining,"Idli, Tandoori Chicken, Biryani","Fast Food, Mughlai",450
"186, 2nd Stage, Indiranagar, Bangalore",Red Hub 12,Yes,No,4.7/5,214,080 41814682,Indiranagar,Food Court,Filter Coffee,Street Food,250
"54, Cross, Bellandur, Bangalore",Local House 13,Yes,No,4.3/5,129,080 42478395,Bellandur,Quick Bites,,Japanese,550
"11, 1st Block, Koramangala, Bangalore",Café Hub 14,Yes,Yes,4.2/5,54,080 48309940,Koramangala,Fine Dining,Chicken Wings,"Beverages, Chinese, Mexican","1,550"
"22, Main Road, Rajajinagar, Bangalore",Red Hub 15,Yes,No,3.7/5,266,080 48334584,Rajajinagar,Casual Dining,Biryani,Italian,900
"28, 1st Block, Bellandur, Bangalore",Grand Villa 16,No,No,3.7/5,8,080 40611331,Bellandur,Bakery,Pasta,"Mughlai, Mexican, Chinese",500
"153, 2nd Stage, HSR Layout, Bangalore",The Bites 17,Yes,No,4.1/5,276,080 45327222,HSR Layout,Delivery,"Chicken Wings, Tandoori Chicken","Street Food, Japanese",500
"189, Main Road, Koramangala, Bangalore",Urban Restaurant 18,Yes,No,4.3/5,68,080 49313713,Koramangala,Delivery,"Idli, Thali","South Indian, Mughlai",400
"146, 1st Block, JP Nagar, Bangalore",South Side Villa 19,Yes,No,3.3/5,122,080 46578632,JP Nagar,Cafe,"Biryani, Burgers","Thai, Mexican",250
"75, 2nd Stage, Indiranagar, Bangalore",Local Bar & Grill 20,Yes,Yes,4.0/5,528,080 41399281,Indiranagar,Quick Bites,"Noodles, Idli","Japanese, Chinese, South Indian",350
"147, 2nd Stage, Koramangala, Bangalore",The Point 21,No,Yes,3.6/5,62,080 49184418,Koramangala,Delivery,"Paneer Butter Masala, Momos",South Indian,250
"2, Main Road, Koramangala, Bangalore",The Cafe 22,No,No,3.7/5,109,080 40054733,Koramangala,Kiosk,"Paneer Butter Masala, Chicken Wings, Pasta, Sandwiches","South Indian, Bakery",250
"20, 2nd Stage, Bellandur, Bangalore",Grand Kitchen 23,No,No,3.6/5,492,080 42707587,Bellandur,Food Court,"Masala Dosa, Gulab Jamun, Idli, Pizza",Mexican,350
"60, 1st Block, Sarjapur Road, Bangalore",Café Bar & Grill 24,Yes,Yes,4.2/5,172,080 45412598,Sarjapur Road,Dessert Parlor,Waffles,"BBQ, Chinese, Biryani",350
"120, Cross, Whitefield, Bangalore",Grand Restaurant 25,Yes,Yes,NEW,196,080 45883061,Whitefield,Cafe,"Gulab Jamun, Cold Coffee","South Indian, Italian, Thai",550
